ORDEN,AÑO,DISCIPLINA DEPORTIVA,No. GRUPO,BARRIO CLUB,COMUNA CLUB,SEXO,EDAD,ESTRATO,BARRIO DEPORTISTA,COMUNA DEPORTISTA,GRUPO ETAREO
407,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,13,3,CAMPO HERMOSO,05. GARCIA ROVIRA,13 a 17 años
408,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,14,4,CAMPO HERMOSO,05. GARCIA ROVIRA,13 a 17 años
409,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,6,3,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
410,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,7,3,CHORRERAS DE DON JUAN,05. GARCIA ROVIRA,3 a 12 años
411,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,7,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
412,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,7,2,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
413,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,6,2,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
414,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,6,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
415,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,6,1,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
416,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,6,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
417,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,7,2,PRIMERO DE MAYO,05. GARCIA ROVIRA,3 a 12 años
418,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,8,1,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
419,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,7,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
420,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,8,2,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
421,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,8,3,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
422,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,7,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
423,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,7,2,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
424,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,7,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
425,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,9,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
426,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,8,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
427,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,8,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
428,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,9,2,DANGOND,11. SUR,3 a 12 años
429,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,10,1,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
430,2021,BALONCESTO,CANCHA JUNTO AL CAI,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,9,2,CHORRERAS DE DON JUAN,05. GARCIA ROVIRA,3 a 12 años
431,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,3,SAN FRANCISCO,03. SAN FRANCISCO,3 a 12 años
432,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,3,LAS HAMACAS,01. NORTE,3 a 12 años
433,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,15,2,SIN INFORMACION,SIN INFORMACION,13 a 17 años
434,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,14,3,REAL DE MINAS,07. LA CIUDADELA,13 a 17 años
435,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,6,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
436,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,8,2,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
437,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,7,3,SAN FRANCISCO,03. SAN FRANCISCO,3 a 12 años
438,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,8,3,SAN FRANCISCO,03. SAN FRANCISCO,3 a 12 años
439,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,11,3,PAN DE AZUCAR,12. CABECERA DEL LLANO,3 a 12 años
440,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,2,COMUNEROS,03. SAN FRANCISCO,3 a 12 años
441,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,3,REAL DE MINAS,07. LA CIUDADELA,13 a 17 años
442,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,2,MARIA PAZ,01. NORTE,13 a 17 años
443,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,3,CAMPO HERMOSO,05. GARCIA ROVIRA,13 a 17 años
444,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,3,SAN ALONSO,13. ORIENTAL,13 a 17 años
445,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,11,3,CHAPINERO,03. SAN FRANCISCO,3 a 12 años
446,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,10,3,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
447,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,9,3,CABECERA DEL LLANO,12. CABECERA DEL LLANO,3 a 12 años
448,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,11,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
449,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,FEMENINO,10,2,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
450,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,FEMENINO,11,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
451,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,10,2,SIN INFORMACION,SIN INFORMACION,3 a 12 años
452,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,11,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
453,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,FEMENINO,11,2,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
454,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,14,2,GARCIA ROVIRA,15. CENTRO,13 a 17 años
455,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,FEMENINO,11,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
456,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,12,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
457,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,13,2,REAL DE MINAS,07. LA CIUDADELA,13 a 17 años
458,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,14,2,GARCIA ROVIRA,15. CENTRO,13 a 17 años
459,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,13,2,GARCIA ROVIRA,15. CENTRO,13 a 17 años
460,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,15,2,GARCIA ROVIRA,15. CENTRO,13 a 17 años
461,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,11,2,SIN INFORMACION,SIN INFORMACION,3 a 12 años
462,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,11,2,SIN INFORMACION,SIN INFORMACION,3 a 12 años
463,2021,CICLISMO,PARQUE,CRISTAL ALTO,10. PROVENZA,MASCULINO,13,2,SIN INFORMACION,SIN INFORMACION,13 a 17 años
464,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,FEMENINO,5,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
465,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,MASCULINO,11,1,SIN INFORMACION,SIN INFORMACION,3 a 12 años
466,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,MASCULINO,5,3,SANTA MARIA,11. SUR,3 a 12 años
467,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,FEMENINO,10,2,SIN INFORMACION,SIN INFORMACION,3 a 12 años
468,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,FEMENINO,6,1,SIN INFORMACION,SIN INFORMACION,3 a 12 años
469,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,MASCULINO,10,1,SIN INFORMACION,SIN INFORMACION,3 a 12 años
470,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,FEMENINO,9,1,SIN INFORMACION,SIN INFORMACION,3 a 12 años
471,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,FEMENINO,7,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
472,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,MASCULINO,11,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
473,2021,CICLISMO,PARQUE LINEAL,BETANIA,01. NORTE,MASCULINO,11,2,SIN INFORMACION,SIN INFORMACION,3 a 12 años
474,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,11,3,COMUNEROS,03. SAN FRANCISCO,3 a 12 años
475,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,15,3,SAN ALONSO,13. ORIENTAL,13 a 17 años
476,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,15,3,BUENOS AIRES,14. MORRORICO,13 a 17 años
477,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,15,2,RICAURTE,06. LA CONCORDIA,13 a 17 años
478,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,14,3,ANTONIA SANTOS CENTRO,13. ORIENTAL,13 a 17 años
479,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,11,3,GIRARDOT,04. OCCIDENTAL,3 a 12 años
480,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,3,GIRARDOT,04. OCCIDENTAL,3 a 12 años
481,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,3,SIN INFORMACION,SIN INFORMACION,13 a 17 años
482,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,N/A,BOSQUE NORTE,02. NORORIENTAL,13 a 17 años
483,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,15,3,ANTONIA SANTOS SUR,09. LA PEDREGOSA,13 a 17 años
484,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,3,LA CONCORDIA,06. LA CONCORDIA,13 a 17 años
485,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,14,N/A,SAN ALONSO,13. ORIENTAL,13 a 17 años
486,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,15,3,CAMPO HERMOSO,05. GARCIA ROVIRA,13 a 17 años
487,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,11,3,SAN CRISTOBAL,02. NORORIENTAL,3 a 12 años
488,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,7,3,SAN CRISTOBAL,02. NORORIENTAL,3 a 12 años
489,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,15,3,UNIVERSIDAD,03. SAN FRANCISCO,13 a 17 años
490,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,11,2,VILLAS DE SAN IGNACIO,01. NORTE,3 a 12 años
491,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,12,3,SAN ALONSO,13. ORIENTAL,3 a 12 años
492,2021,CICLISMO,VELODROMO,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,3,GARCIA ROVIRA,15. CENTRO,13 a 17 años
493,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,13,3,CANDILES,06. LA CONCORDIA,13 a 17 años
494,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,FEMENINO,11,2,CANDILES,06. LA CONCORDIA,3 a 12 años
495,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,10,3,SAN MIGUEL,06. LA CONCORDIA,3 a 12 años
496,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,8,3,SAN MIGUEL,06. LA CONCORDIA,3 a 12 años
497,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,6,4,FONTANA,10. PROVENZA,3 a 12 años
498,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,6,4,SAN ALONSO,13. ORIENTAL,3 a 12 años
499,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,11,3,LA LIBERTAD,09. LA PEDREGOSA,3 a 12 años
500,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,12,2,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
501,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,14,2,REAL DE MINAS,07. LA CIUDADELA,13 a 17 años
502,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,FEMENINO,8,3,SAN MIGUEL,06. LA CONCORDIA,3 a 12 años
503,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,8,1,SIN INFORMACION,SIN INFORMACION,3 a 12 años
504,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,6,3,ANTONIA SANTOS SUR,09. LA PEDREGOSA,3 a 12 años
505,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,FEMENINO,10,2,QUINTA ESTRELLA,05. GARCIA ROVIRA,3 a 12 años
506,2021,CICLISMO,CANCHA DE BALONCESTO,CANDILES,06. LA CONCORDIA,MASCULINO,13,3,REAL DE MINAS,07. LA CIUDADELA,13 a 17 años
507,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,8,2,PROVENZA,10. PROVENZA,3 a 12 años
508,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,9,2,DANGOND,11. SUR,3 a 12 años
509,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,10,2,DANGOND,11. SUR,3 a 12 años
510,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,12,2,PROVENZA,10. PROVENZA,3 a 12 años
511,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,13,2,SAN GERARDO,08. SUR OCCIDENTE,13 a 17 años
512,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,6,2,BRISAS DEL PARAISO,11. SUR,3 a 12 años
513,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,12,2,DANGOND,11. SUR,3 a 12 años
514,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,12,2,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
515,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,14,2,REAL DE MINAS,07. LA CIUDADELA,13 a 17 años
516,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,14,2,MALPASO,11. SUR,13 a 17 años
517,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,11,2,PUNTA PARAISO,11. SUR,3 a 12 años
518,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,11,2,PUNTA PARAISO,11. SUR,3 a 12 años
519,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,9,2,PUNTA PARAISO,11. SUR,3 a 12 años
520,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,13,2,PUNTA PARAISO,11. SUR,13 a 17 años
521,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,12,2,CABECERA DEL LLANO,12. CABECERA DEL LLANO,3 a 12 años
522,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,13,2,DANGOND,11. SUR,13 a 17 años
523,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,12,2,VILLA SARA,11. SUR,3 a 12 años
524,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,10,2,DANGOND,11. SUR,3 a 12 años
525,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,7,2,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
526,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,11,2,DANGOND,11. SUR,3 a 12 años
527,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,13,2,DANGOND,11. SUR,13 a 17 años
528,2021,FUTBOL,CANCHA SINTETICA BARRIO DANGOND,DANGOND,11. SUR,MASCULINO,9,2,PUNTA PARAISO,11. SUR,3 a 12 años
529,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,8,1,LA INDEPENDENCIA,02. NORORIENTAL,3 a 12 años
530,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,13,1,LA JUVENTUD,02. NORORIENTAL,13 a 17 años
531,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,7,1,LA JUVENTUD,02. NORORIENTAL,3 a 12 años
532,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,FEMENINO,9,1,LA JUVENTUD,02. NORORIENTAL,3 a 12 años
533,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,6,1,LA JUVENTUD,02. NORORIENTAL,3 a 12 años
534,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,5,1,LA JUVENTUD,02. NORORIENTAL,3 a 12 años
535,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,6,1,LA JUVENTUD,02. NORORIENTAL,3 a 12 años
536,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,FEMENINO,11,1,LA JUVENTUD,02. NORORIENTAL,3 a 12 años
537,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,10,1,LA JUVENTUD,02. NORORIENTAL,3 a 12 años
538,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,8,1,TRANSICION I-V,02. NORORIENTAL,3 a 12 años
539,2021,FUTBOL,CANCHA LA BOMBONERA,LA JUVENTUD,02. NORORIENTAL,MASCULINO,10,2,SAN CRISTOBAL,02. NORORIENTAL,3 a 12 años
540,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,13,2,GARCIA ROVIRA,15. CENTRO,13 a 17 años
541,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,11,2,PIO XII,04. OCCIDENTAL,3 a 12 años
542,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,8,2,SANTANDER,04. OCCIDENTAL,3 a 12 años
543,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,10,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
544,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,12,2,SANTANDER,04. OCCIDENTAL,3 a 12 años
545,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,10,2,23 DE JUNIO,04. OCCIDENTAL,3 a 12 años
546,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,11,2,SANTANDER,04. OCCIDENTAL,3 a 12 años
547,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,10,2,PIO XII,04. OCCIDENTAL,3 a 12 años
548,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,10,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
549,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,11,2,REGADEROS NORTE,02. NORORIENTAL,3 a 12 años
550,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,8,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
551,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,13,1,EL PRADO,13. ORIENTAL,13 a 17 años
552,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,11,1,EL PRADO,13. ORIENTAL,3 a 12 años
553,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,13,1,EL PRADO,13. ORIENTAL,13 a 17 años
554,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,12,2,PIO XII,04. OCCIDENTAL,3 a 12 años
555,2021,FUTBOL,CANCHA CENTRAL,SANTANDER,04. OCCIDENTAL,MASCULINO,12,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
556,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,1,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
557,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,12,4,GALAN,13. ORIENTAL,3 a 12 años
558,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,6,3,ALARCON,03. SAN FRANCISCO,3 a 12 años
559,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,8,3,MUTUALIDAD,03. SAN FRANCISCO,3 a 12 años
560,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,8,3,ANTONIA SANTOS CENTRO,13. ORIENTAL,3 a 12 años
561,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,3,ALARCON,03. SAN FRANCISCO,3 a 12 años
562,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,3,MUTUALIDAD,03. SAN FRANCISCO,3 a 12 años
563,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,3,COMUNEROS,03. SAN FRANCISCO,3 a 12 años
564,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,10,4,MEJORAS PUBLICAS,13. ORIENTAL,3 a 12 años
565,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,10,2,LA INDEPENDENCIA,02. NORORIENTAL,3 a 12 años
566,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,2,CAFE MADRID,01. NORTE,3 a 12 años
567,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,2,MORRORICO,14. MORRORICO,3 a 12 años
568,2021,FUTBOL,CANCHA JUVENTUD,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,5,2,SAN FRANCISCO,03. SAN FRANCISCO,3 a 12 años
